id,ticker_symbol,name,image,unit_price,market_cap,market_cap_rank,fully_diluted_valuation,trade_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,sentiment_score,news_volume,asset_category,volatility_spread,trading_signal,unit_price_zscore,market_cap_zscore,market_cap_rank_zscore,fully_diluted_valuation_zscore,trade_volume_zscore,high_24h_zscore,low_24h_zscore,price_change_24h_zscore,price_change_percentage_24h_zscore,market_cap_change_24h_zscore,market_cap_change_percentage_24h_zscore,circulating_supply_zscore,total_supply_zscore,max_supply_zscore,ath_zscore,ath_change_percentage_zscore,atl_zscore,atl_change_percentage_zscore,sentiment_score_zscore,news_volume_zscore,volatility_spread_zscore,pnl_estimate,market_val
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,7637011.0,153345980824840,1,153345980824840,3809383505927,7756435.0,7316656.0,281435.0,3.84923,5653843137605,3.82813,20079456.0,20079481.0,21000000,11187013.0,-31.73324,2025-10-06T10:57:42.000Z,3993.42,191139.89143,2013-07-04T16:00:00.000Z,"{'times': 40.52582406779667, 'currency': 'btc', 'percentage': 4052.5824067796666}",2026-09-04T07:25:20.000Z,0.85,1200,CRYPTO_BTC,0,BULLISH_STRONG,1.0954446150015367,1.7607500481026788,-0.9647280338436343,1.7609854243560816,1.6431499202558393,1.7880712940736747,1.7880652049414123,1.787793810646582,-0.5147447240520852,1.75171937104068,-0.5247892011002631,-0.5758034009545046,-0.5978476994983308,-0.447213595499958,1.787625763812361,1.2304636201923538,1.7887766913588263,-0.14737666638074232,0.7956347671213074,1.2191138306581708,0,0,2.9092303737983066e+19
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,7637011.0,28936389434007,2,28936389434007,1607382651327,238361.0,225709.0,10012.61,4.4299800000000005,1218222052878,4.39503,122018029.54816364,122018029.5481636,21000000,431946.0,-45.08971,2025-08-24T11:21:03.000Z,28.13,843028.76062,2015-10-19T16:00:00.000Z,"{'times': 40.52582406779667, 'currency': 'btc', 'percentage': 4052.5824067796666}",2026-09-04T07:25:20.000Z,0.72,850,CRYPTO_ETH,0,BULLISH_STRONG,1.0954446150015367,-0.1386472943554939,-0.8307380291431296,-0.14073835821345473,0.2607524655817732,-0.3958143585905236,-0.39561410770256683,-0.387335588955694,-0.1921488333158006,-0.08823352208543152,-0.21403826927076866,-0.5742898546149673,-0.5963350555428911,-0.447213595499958,-0.3828244186025847,0.6999560099919243,-0.4408719826588601,1.7400626709521025,0.17254729889377765,0.2709141845907046,0,0,1.2275598989393463e+19
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,9800.07,5736436419640,7,6207759965744,381004648217,9976.91,9437.26,280.89,2.95682,165095493259,2.9633000000000003,585360515.876225,633455548.7770228,21000000,25396.0,-61.41144,2025-01-19T03:15:27.000Z,38.03,25672.24075,2020-05-11T11:35:23.000Z,"{'times': 40.52582406779667, 'currency': 'btc', 'percentage': 4052.5824067796666}",2026-09-04T07:25:20.000Z,0.9,450,CRYPTO_SOL,0,BULLISH_STRONG,-0.7287361658987002,-0.49284771096332547,-0.16078800564060564,-0.488167963292854,-0.5091572401415209,-0.46215644799370975,-0.46221566664067726,-0.4653238134374601,-1.0104619842362736,-0.525084015665901,-0.9988529308129132,-0.5674103162839489,-0.5887459454067874,-0.447213595499958,-0.4648691442803323,0.051670798657143496,-0.4353052972782763,-0.626461626578852,1.0352837933626653,-0.8127425537721138,0,0,3733872222851975.0
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,8.24,1283679556768,12,1283676342887,95814944947,8.49,7.8,0.389321,4.9258500000000005,60829632924,4.97442,155772736383.70526,155772536383.7052,21000000,53.62,-84.63147,2021-05-07T21:08:23.000Z,0.00552883,148941.50096,2015-05-05T16:00:00.000Z,"{'times': 40.52582406779667, 'currency': 'btc', 'percentage': 4052.5824067796666}",2026-09-04T07:25:20.000Z,0.4,950,CRYPTO_DOGE,0,BULLISH_STRONG,-0.731078053157329,-0.5608292424304777,0.5091620178619183,-0.5634374568122927,-0.6881969162961045,-0.4650521217284629,-0.46511949834769806,-0.46757169458500025,0.08329778629573843,-0.5683348406829964,0.1035591595397635,1.7367545990330995,1.7133291402173663,-0.447213595499958,-0.4699834195604239,-0.8706090121073983,-0.4566861324062024,-0.2695553166224225,-1.361206469050911,0.5418283691814092,0,0,789515146363.28
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,20.96,786108750471,19,943221508720,66583404480,21.42,19.38,1.51,7.71759,56653890370,7.76661,37504333228.36598,45000000000.0,45000000000,225.26,-90.69586,2021-09-01T22:00:10.000Z,1.38,1423.8083,2017-11-01T16:00:00.000Z,"{'times': 40.52582406779667, 'currency': 'btc', 'percentage': 4052.5824067796666}",2026-09-04T07:25:20.000Z,0.55,300,CRYPTO_ADA,0,BULLISH_STRONG,-0.7310750109470445,-0.5684258003533819,1.4470920507654517,-0.5686416460374801,-0.7065482293999875,-0.4650483657609786,-0.4651159322504701,-0.46756271366842805,1.634057755308419,-0.5700669926063511,1.6341212416441828,-0.019251027179678405,0.06959956023064288,1.788854381999832,-0.4699487813690199,-1.1114814167340237,-0.455913279015488,-0.696669061370086,-0.642259390326838,-1.2191138306581708,0,0,1395588157900.8
